三傻大闹宝莱坞,2009,9.2,14
机器人总动员,2008,9.3,15
放牛班的春天,2004,9.3,16
无间道,2002,9.3,17
疯狂动物城,2016,9.2,18
大话西游之大圣娶亲,1995,9.2,19
熔炉,2011,9.3,20
教父,1972,9.3,21
当幸福来敲门,2006,9.1,22
龙猫,1988,9.2,23
怦然心动,2010,9.1,24
控方证人,1957,9.6,25
触不可及,2011,9.3,26
末代皇帝,1987,9.3,27
蝙蝠侠：黑暗骑士,2008,9.2,28
寻梦环游记,2017,9.1,29
活着,1994,9.3,30
指环王3：王者无敌,2003,9.3,31
乱世佳人,1939,9.3,32
哈利·波特与魔法石,2001,9.1,33
何以为家,2018,9.1,34
飞屋环游记,2009,9.0,35
素媛,2013,9.3,36
摔跤吧！爸爸,2016,9.0,37
十二怒汉,1957,9.4,38
少年派的奇幻漂流,2012,9.1,39
哈尔的移动城堡,2004,9.1,40
鬼子来了,2000,9.3,41
我不是药神,2018,9.0,42
大话西游之月光宝盒,1995,9.0,43
天空之城,1986,9.1,44
天堂电影院,1988,9.2,45
闻香识女人,1992,9.1,46
指环王2：双塔奇兵,2002,9.1,47
罗马假日,1953,9.0,48
猫鼠游戏,2002,9.1,49
辩护人,2013,9.2,50
指环王1：护戒使者,2001,9.1,51
钢琴家,2002,9.2,52
大闹天宫,1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆),9.4,53
教父2,1974,9.2,54
让子弹飞,2010,8.9,55
狮子王,1994,9.1,56
死亡诗社,1989,9.1,57
搏击俱乐部,1999,9.0,58
黑客帝国,1999,9.1,59
绿皮书,2018,8.9,60
海蒂和爷爷,2015,9.2,61
饮食男女,1994,9.1,62
美丽心灵,2001,9.0,63
窃听风暴,2006,9.2,64
本杰明·巴顿奇事,2008,8.9,65
两杆大烟枪,1998,9.1,66
情书,1995,8.9,67
穿条纹睡衣的男孩,2008,9.1,68
看不见的客人,2016,8.8,69
飞越疯人院,1975,9.1,70
西西里的美丽传说,2000,8.9,71
拯救大兵瑞恩,1998,9.0,72
音乐之声,1965,9.1,73
小鞋子,1997,9.2,74
阿凡达,2009,8.8,75
海豚湾,2009,9.3,76
致命魔术,2006,8.9,77
美国往事,1984,9.2,78
沉默的羔羊,1991,8.9,79
禁闭岛,2010,8.8,80
蝴蝶效应,2004,8.8,81
低俗小说,1994,8.9,82
心灵捕手,1997,8.9,83
布达佩斯大饭店,2014,8.9,84
哈利·波特与死亡圣器(下),2011,8.9,85
春光乍泄,1997,9.0,86
七宗罪,1995,8.8,87
摩登时代,1936,9.3,88
喜剧之王,1999,8.8,89
被嫌弃的松子的一生,2006,8.9,90
致命ID,2003,8.8,91
杀人回忆,2003,8.9,92
加勒比海盗,2003,8.8,93
剪刀手爱德华,1990,8.7,94
狩猎,2012,9.1,95
